	input
3086	Avuga ko Imana yamusezeranyije indege kera akaba ariyo mpamvu yagiye aho zikorerwa, kugira ngo amenye igiciro atangire abyitegure.
3087	Umuyobozi wa Korali Light Family Nzabonimpa Augustin yabwiye Ukwezi.
3088	Kuri iki Cyumweru tariki 16 Ukuboza 2018, Umuhanzi Kizito Mihigo yasuye Paruwasi ya Kiliziya Gatolika i Rwamagana mu Ntara y’Uburasirazuba, ayikoreramo igitaramo gikomeye cyahembuye imitima y’imbaga y’abakirisitu bacyitabiriye.
3089	Umuramyi w’umunyempano Ada Bisabo Claudine umaze kugira izina rikomeye mu muziki mu Rwanda, agiye gukora igitaramo gikomeye yatumiyemo umuhanzi w’icyamamare Papane Bulwane wo muri Afrika y’Epfo.
3090	Kizito Mihigo kandi, aya mabonekerwa yabaye iwabo i Kibeho amaze igihe gito avutse, dore ko nawe afite imyaka 37 y’amavuko.
3091	Ibi Bishop Bilindabagabo yabigarutseho kuri uyu wa 22 Ugushyingo 2018 mu kiganiro n’abanyamakuru agaragaza uruhare rw’amadini n’amatorero mu kurandura ibiyobyabwenge.
3092	Iki gitaramo gitegerejwe na benshi, kizabera muri Kigali Conference Exhibition Village Camp Kigali guhera i Saa cyenda z’umugoroba.
3093	Muri iki gitaramo kandi Kizito yavuze amagambo yakoze benshi ku mutima.
3094	Urarushaho kumva neza no gusobanukirwa uburyo ari iby’agaciro gakomeye kandi bikaba ngombwa cyane mu buzima n’imibereho yacu, kugira umwanya wihariye tugenera Imana umuremyi wacu.
3095	Inkuru yari igezweho kuri WhatsApp, Facebook na Twitter ni ijyanye n’akavidewo k’amasegonda 14 kakwirakwizwaga, aho abatari bake bongeye kwikoma Aptre Dr Gitwaza, bavuga ko inyigisho ze zikomeje kuyobya abakirisitu.
3096	Iki gitaramo cyabimburiye ibindi 12 bizaba mu minsi iri imbere, cyahembuye imitima y’abacyitabiriye, binyuze mu ndirimbo zikunzwe abahanzi baririmbye.
3097	Groove Awards ihemba abahanzi, amakorali n’amatsinda yo kuramya no guhimbaza Imana, abanyamakuru, abatunganya indirimbo n’abafite aho bahuriye n’ivugabutumwa harebwa abahize abandi mu byiciro bitandukanye mu gihe cy’umwaka.
3098	Itsinda ry’abaririmbyi b’abaramyi ryitwa Trinity Worship Center rikorera umurimo w’Imana Kabeza mu itorero rya EPR bari gutegura igitaramo gikomeye kizahuriramo abaramyi bafite amazina akomeye mu Rwanda.
3099	Mu bavugabutumwa bo mu Rwanda, Apotre Paul Gitwaza ni umwe mu bagiye bavuga ibintu byinshi bigateza impaka, ibyo tukaba ari nabyo tugarukaho muri iyi nkuru.
3100	Christian Communication iri gutegura igitaramo gikomeye kiswe Rabagirana Worship Festival, kigaragarizwamo impano zitandukanye ndetse kinatangirwemo ubutumwa bwiza bwibutsa abanyempano kwera imbuto.
3101	Niyitegeka Yayeli ukundwa n’abatari bacye kubera ijwi rye yatangarije Ukwezi.
3102	Iki gitaramo giteganyijwe ku Cyumweru tariki 16 Nzeri 2018.
3103	Iki gitaramo kiri gutegurwa na Bosco Nshuti kiswe Ibyo Ntunze Live Concert’ kizabera i Kigali muri Serena Hoteli tariki 2 Nzeri 2018.
3104	Muri buri muntu harimo ubushobozi bwo kuba umuntu uhambaye nk’uko Imana ihambaye.
3105	Yagize ati Impamvu mugomba kwihanurira ni uko hari igihe ujya kubwira pasiteri ubwe, cyangwa ukabwira umuvugabutumwa uti nsengera nabonye ikiraka, cyangwa nabonye umuhungu mwiza.
3106	Muri iki giterane hazanavurwa abarwaye amaso ku buntu, abagera ku bihumbi 6 bahabwe indorerwamo Lunette, abatishoboye barihirwe Mituweli n’ibindi bitandukanye byo kuzamura imibereho y’abatishoboye.
3107	Ibijyanye n’ubuvuzi gakondo bushingiye ku myuka, ibyo benshi bitaba ubupfumu, mu Rwanda ntibivugwaho rumwe.
3108	Mu kwezi kwa Mutarama 2017, nibwo hagaragaye video yagaragazaga, Pasiteri Ngaboyisonga Theoneste ari nawe muvugizi w’Itorero ry’Inkuru Nziza mu Rwanda aho yarimo yikinisha.
3109	Umwe mu bakirisitu bari bari muri iri teraniro yabwiye Ukwezi.
3110	Umuhuzabikorwa wawo Per Gisselsson yabwiye abanyamakuru ko ikibazanye mu Rwanda ari ukubwiriza Abanyarwanda ubutumwa bw’amahoro kandi bubazanira ibyiringiro.
3111	Umushumba wa Diyosezi Gatolika ya Gikongoro, Musenyeri Clestin Hakizimana yahagaritse ku mirimo y’ubushumba, Padiri Augustin Ndikubwimana mu gihe kingana nimyaka ibiri aho mu bivugwa ko yazize harimo n’ubusinzi n’ubusambanyi.
3112	Minisitiri w’Umuco na Siporo, Uwacu Julienne yavuze ko kwibuka ari umuco w’abakirisitu ashimangira ko iyo abakirisitu bizihiza Pasika baba bibuka urupfu n’izuka rya Kirisitu.
3113	Iki gitaramo cyari giteganyije gutangira ku isaha ya saa Cyenda nk’uko mu byakomeje kugenda bitangazwa n’abagiteguye ubwo bacyamamazaga, gusa iyi saha yageze abantu bataraba benshi aho cyagombaga kubera.
3114	Iyi mbaga y’abakirisitu iba yitabiriye iki gikorwa uba usanga hari bamwe muri bo baba bahetse umusaraba biganye uburyo Yezu yabigenje.
3115	Ubwo iri tsinda rya Alarm Ministries ryageraga ku ruhimbi ryakiranwe ibyishimo bidasanzwe birimo amashyi y’urufaya ibivugirizo bivanze n’impundu bigaragaza ko bari bategerezanyijwe urukumbuzi n’amatsiko adasanzwe.
3116	Iki gitaramo gitegerejwe na benshi cyatumiwemo Umuyobozi w’Itorero Zion Temple Celebration Centre ku Isi, Aptre Dr Paul Gitwaza, akaba ari nawe uzabwiriza ijambo ry’Imana.
3117	Nkuko bigaragazwa n’ ikigo cy’ igihugu gishinzwe kubungabunga ibidukikije, urusaka rukabije rwitwa gutyo iyo rurengeje igipimo cya decibel db 80.
3118	Umuntu utifuje ko twatangaza amazina ye, ukora mu bushinjacyaha bw’u Rwanda, yahamirije ikinyamakuru Ukwezi.
3119	Kugeza magingo aya icyateye iyi nkongi ntabwo kiramenyekana, gusa abari hafi y’uru rusengero batangarije Ukwezi.
3120	Mu mirenge itandukanye y’akarere ka Kicukiro zimwe mu nsengero zikorera ahatujije ibisabwa zamaze gufungwa n’ubuyobozi bw’imirenge aho zimwe muri izi nsengero zafunzwe harimo n’ahasengera Abayisiramu hazwi nk’umusigiti.
3121	Uyu wa Kane nibwo kandi muri Nyamagabe, hafunzwe Centrale Taba ya Kiliziya Gatorika yafunzwe n’ubuyobozi bw’aka karere aho nayo yari mu nsengero zitujuje ibisabwa.
3122	Yagize ati Kubaho si ukuba uhumuke gusa, ushobora kubaho kandi utakiriho.
3123	Abaturage bo mu kagari ka Kabagesera mu murenge wa Runda mu karere ka Kamonyi aho Ndahimana Jean Bosco amaze igihe atuye, bahamirije ikinyamakuru Ukwezi.
3124	Uyu mugabo utaratangaje amazina ye, yatanze ubuhamya ndetse anashima Imana imbere y’abakirisitu bo mu itorero Abacunguwe rya Bishop Rugagi aho risigaye riteranira muri Hotel Serena ya Kigali.
3125	Mu butumwa buri muri iki gitabo cya Zaburi by’umwihariko aha muri Zaburi ya 95 hagaruka ku gukomera kw’Imana no gushima imirimo igenda ikorera abantu.
3126	Ibi byose ngo ntibyubahirijwe kuko RURA yakuyeho umurongo wa Radiyo ba nyirawo banze kuwukuraho, bakaba batarasabye imbabazi ndetse n’ihazabu baciwe ngo ntayo bishyuye.
3127	Benshi bakiriye agakiza nyuma yo guhanurirwa na Pasiteri Lydie Masasu , umugore w’umuvugabutumwa ukomeye akaba n’umushumba mukuru w’Itorero rya Restoration Church hano mu Rwanda, Apotre Josua Masasu.
3128	Kwinjira muri iki gitaramo kizatangira ku isaha ya saa Cyenda, ni amafaranga 5000Frw ahasanzwe ndetse na 10000Frw mu myanya y’icyubahiro, hari kandi n’abazagura ameza y’abantu 8 bakishyura 200 000Frw.
3129	Abandi bayobozi bari bahari barimo Umushumba w’itorero ry’Akarere ka Kayonza n’abandi bayobora Paruwasi zitandukanye ndetse n’ubuyobozi bw’Ishuli aba bayobozi basengewe bigamo.
3130	Ubwo yari ayoboye amateraniro yo kuri iki Cyumweru, Gitwaza yongeye kugaruka kuri iyi ngingo aho yabanje kubwira abakirisitu ko imirimo yo gusana urusengero igeze kure.
3131	Nyuma yo gusanga bataburanishwa kubera ko bamwe muri bo batari bafite abunganizi, umucamanza uyoboyer urubanza yahise yanzura ko rugomba gusubikwa, rukazasubukurwa tariki ya 21 Kamena 2018 bose babonye ababunganira.
3132	Ubugenzuzi bwakozwe muri aka karere bwakorewe ku nsengero zirenga 400 muri izi ngo izigera ku 169 zarafunzwe kuko hari ibyo zitujuje mu byavuzwe haruguru.
3133	Abatawe muri yombi, bamaze gushyikirizwa parike yakiriye dosiye yabo kuwa Mbere tariki 12 Werurwe 2018 ngo bakomeze gukurikiranwa n’urwego rw’ubushinjacyaha.
3134	Musenyeri Bimenyimana Jean Damascene wari Umushumba wa Diyosezi ya Cyangugu yitabye Imana kuri iki Cyumweru azize indwara ya kanseri yo mu maraso yari amaranye iminsi.
3135	Ni nyuma y’ubugenzuzi bwakozwe n’ubuyobozi bw’umurenge wa Nyamirambo bikagaragara ko urusengero rutujuje ibisabwa.
3136	Umuyobozi w’akarere ka Nyamasheke wungirije ushinzwe imibereho myiza y’abaturage, Mukamana Claudette yabwiye Ukwezi.
3137	Yanavuze ko yashatse kwagura Easter Celebration’ muri rusange dore ko imaze kuba ikintu kinini.
3138	Theo Bosebabireba ntiyigeze agira icyo avuga kuri iyi myanzuro yafashwe n’itorero yabarizwagamo, kuko we yanahise yigira mu gihugu cy’abaturanyi cya Uganda.
3139	Yanasonanuye ko nta bibazo biri Politiki byari gutuma ahunga igihugu nk’uko byavuzwe cyane ubwo yari yagiye muri Kenya.
3140	Joseph yavuzeko bo intego yabo yambere arugukora ubuvugizi ku banyamerika bakaza muri Afurika gushora imari kugirango ubuzima bw’umunyafurika bukomeze kumera neza abana babashe kwiga n’umutekano ugaruke muri Afurika .
3141	Mu bakomeje kubashyigikira, bigaragara ko abavugabutumwa nabo barimo ariko si n’ubwa mbere, abagiye babikora benshi byatanze umusaruro abo bashyigikiye babona ikamba.
3142	Uyu musaza, nawe yigeze kwiyemerera ko yakoze ubuhanuzi bw’ibinyoma akajya arya abantu amafaranga yabo ababeshya.
3143	Mu magambo ye Patient Bizimana ati deborahmasasu1 happy valentine’s day too join me we enjoy together am alone .
3144	com avuga ko urusengero rwa Bishop Rugagi rwafunzwe kubera ko rubangamira abaruturiye, aho bavuga ko basakurizwa mu gihe cy’amateraniro akunze kuhabera buri munsi.
3145	Bishop Rugagi kandi yagarutse cyane ku nkuru zavuzwe ku bijyanye n’uko yahanuriye uyu mukobwa ko azambikwa ikamba rya Miss Rwanda 2018.
3146	Umuhanzi Theogene Uwiringiyimana Bosebabireba yakubitiwe bikomeye muri Uganda aho yari amaze iminsi arakomereka cyane ndetse anajyanwa mu bitaro.
3147	Uku kugera atera abakobwa inda ndetse n’izzindi ngeso yagiye avugwaho zzirimo ubusinzi ni bimwe mu ntandaro yo kuba yahagaritswe muri iri torero.
3148	Umuyobozi wa Korali Amahoro Ntakirutimana Zacharie yavuze ko gukora umurimo w’ivugabutumwa bibanda cyane ku gutanga ubutumwa bw’amahoro n’ihumure ari ugushimangira no kubungabunga umurage Yesu yasigiye abo ku Isi.
3149	Dawe uri mu Ijuru ni isengesho YezuYesu yigishije abigishwa be ubwo bamusabaga ko yabigisha gusenga Matayo 6, 9-13.
3150	Abantu ibihumbi bitabiriye iki gitaramo batahanye akanyamuneza abandi bataha bamwirahira.
3151	Ibi Depite Balikana yabigarutseho ubwo yari yitabiriye umuhango wo kumurika ku mugaragaro TV 7 y’itorero Abacunguwe Redeemed Gospel Church riyobowe na Bishop Rugagi, izajya itambutsa ibiganiro by’iyamamazabutumwa.
3152	Rugagi kandi yanakomoje kubyo kuzura abapfuye aho yavuze ko bishoboka ko ahubwo ikibazo ari uko nta baramuzanira umurambo ngo ananirwe kuwuzura.
3153	Zaza wageze mu Rwanda mu gitondo cyo kuri uyu wa Gatanu, yatumiwe na Billy Jakes uzamurika album yise Umunyamateka azamurika kuri iki Cyumweru, tariki ya 12 Ugushyingo 2017.
3154	Amakuru y’itabwa muri yombi ry’aba bavugabutumwa, yemejwe na CP Theos Badege, mu kiganiro yagiranye n’ikinyamakuru Ukwezi.
3155	com avuga ko Bishop Rugagi Innocent yaba yatawe muri yombi na Polisi y’u Rwanda.
3156	Yahise ahagurutse Shanitah abwira iteraniro ko ari umwe mu bitwaye neza mu majonjora ya Miss Rwanda’ anamusaba kuza imbere akamusengera.
3157	Muri iyi nkuru, turabagezaho bimwe mu bintu uyu muvugabutumwa yatangaje bigaragaza ko afite imyizerere n’imyemerere bidasanzwe ndetse benshi batavugaho rumwe.
3158	Uyu muyobozi ariko, n’ubu atahakanye iby’ifungwa rya radiyo ye, yavuze ko akirimo gusoma ibikubiye mu ibaruwa kuburyo atahita atangaza ibihano yafatiwe.
3159	Joshua Katua, ndetse mu baribwirizamo hakaba harimo umuhungu wa Bishop Rugagi.
3160	Harimo kandi Pastor Bazatsinda Fred Umuyobozi wungirije muri Kigali, Pastor Biziyaremye Leonce ushinzwe imirimo y’ivugabutumwa mu Ntara ya Kibungo, ndetse na Ev.
3161	Yagize ati Ikibazo abagore bafite uyu munsi ni uko babaye indaya, reka rero nze mbabwire umugore uko agaragara imbere y’Imana.
3162	Uyu mukozi w’Imana yijeje uyu mukobwa kuzegukana iri kamba mu izina rya Yesu.
3163	Dr Mbanda yatowe n’Inama y’Abepiskopi ba Angilikani yateraniye i Kigali muri Katederali yitiriwe Mutagatifu Sitefano iherereye mu Kiyovu.
3164	Bishop Rugagi wafashe umwanya uteri muto yigisha ijambo ry’Imana, yagarukaga cyane ku magambo yo gushima Imana yo yashoboje buri wese ikanamurinda akaba ageze mu mwaka wa 2018 ari muzima.
3165	Korali Amahoro izafatanya n’ abahanzi batandukanye, itsinda ryamenyekanye cyane mu ndirimbo zikunzwe zo kuramya ryitwa New Melody ndetse n’andi makorari ya ADEPR Paroise ya Remera.
3166	Ibi icyo gihe byatangaje ababyeyi be cyane cyane nyina kuko we byabaye ahibereye amaso ku maso.
3167	Iki giterane kizaba gifite insanganyamatsiko iboneka mu mutwe w’amagambo yo muri Bibiliya mu gitabo cya Matayo 2819-20.
3168	Bahati akaba ashinja Bishop Rugagi kumwambura nkana kuko atabuze ayo mafaranga angana n’amadorali atagera no ku bihumbi Magana atatu.
3169	Uyu mugore amaze kuririmba mu bitaramo bikomeye hirya no hino ku isi.
3170	Bishop Rugagi akimara kumva agahinda k’uyu mukobwa yahise amubwira ko agomba kumusengera akamubohora maze ibyo yavuzweho kwa satani byose akabitesha agaciro.
3171	Bishop Rugagi Innocent uyobora Itorero Abacunguwe Redeemed Gospel Church yahaye umukobwa igipfunyika cy’amadorari ngo ajye kuguramo inkweto ndende azajye azambara bityo abashe guhangana n’ikibazo afite cy’uko ari mugufi.
3172	Uyu muhanzi Jado Sinza ukizamuka album ye ya mbere, yamenyekanye cyane mu ndirimbo Nabaho’ ari nayo yitiriye iyi album izaba igizwe n’indirimbo 10.
3173	Mutabazi Theodore yavuze ko iki kibazo bari basanzwe baracyumvishe ndetse banasabye ubuyobozi bw’iri torero kwikemurira ibibazo binyuze mu biganuiro hagati yabo.
3174	Ingeri zitandukanye zihembwa na Groove Awards harimo abahanzi, amakorali n’amatsinda yo kuramya no guhimbaza Imana, abanyamakuru, abatunganya indirimbo n’abafite aho bahuriye n’ivugabutumwa.
3175	Iri dini rimaze imyaka igera kuri 45 rikorera mu Rwanda, rikaba ryaratangijwe n’intumwa Bahawula Baha’u’llah.
3176	Bishop Rugagi ni umwe mu bavugabutumwa bo mu Rwanda bamaze kumenyekana cyane bitewe ahanini n’ibitangaza agenda akora akaba anamaze kwigarurira imitima ya benshi bakururwa n’ibitangaza.
3177	Yagize ati Muri iki gihe ibintu nshyize imbere y’ibindi byose ubu ni ugusenga ndetse no gusoma ijambo ry’Imana.
3178	Uru rukiko rufashe uyu mwanzuro nyuma y’uko Bishop Rwagasana yari yajuririye ifungwa rye aho yavugaga ko afite uburwayi bukomeye kandi butavurirwa mu Rwanda.
3179	Ubuyobozi bw’ikigo Isange Corporation butegura ibi bihembo buvuga ko bugiye kwagura iki gikorwa ku buryo n’abakozzi ba Leta ndetse n’abanyamahanga bakoze ibikorwa byiza bazajya bahembwa.
3180	Ku nshuro ya 5 mu Rwanda hagiye gutangwa igihembo SIFA REWARDS kigamije guhemba abantu cyangwa se ibigo byakoze ibikorwa by’indashyikirwa hagamijwe kubaka Sosiyeti Nyarwanda.
3181	Aba bose bakurikiranyweho ibyaha byo kunyereza no gukoresha nabi umutungo w’itorero.
3182	Iki giterane gifite umwihariko wo kuzubahiriza ibyifuzo by’abanyarwanda kigagezwa ahantu hose mu gihugu ndetse no Gushima Imana ku bw’amatora ya Perezida wa Repubulika yagenze neza.
3183	Pasiteri Uciyimihigo Xavier yamamaye cyane mu guhanurira abakobwa babuze abagabo ko bagiye kubabona binyuze mu bubasha bw’Imana.
3184	Iyi mihango y’ubukwe bwabo yose yabanjirijwe n’uwo gusezerana mu murenge wa Nyamabuye Mu kiganiro n’Ikinyamakuru Ukwezi.
3185	Kayumba Faustin ufite abana 6 yabonye umugisha w’uruhurirane ubwo yari yaje gusenga nk’ibisanzwe maze Bishop Rugagi aza gutangira kumuhanurira ari nako yahishuriwe ubuzima bugoye n’ubukene bwamwibasiye.
3186	Iyi mpano yahawe ni imodoka yo mu bwoko bwa V8 igura amafaranga y’u Rwanda akabakaba miliyoni 90.
3187	Mu kiganiro abayobozi ba CPR baherutse kugirana n’abanyamakuru, Bishop Alexis Birindabagabo uyobora uyu muryango, yavuze ko mu birori byabo badaheza ndetse na Kiliziya Gatolika bajya bayitumira kandi ikitabira.
3188	Uyu umaze igihe kitari gito aririmba indiorimbo zo guhimbaza Imana mu njyana ya Hip Hop, ahamya ko byamufashije gukomeza umuhamagaro we wo kubwiriza no kwigisha ijambo ry’Imana.
3189	Ibi Pasiteri Uciyimihigo yabitangaje kuri uyu wa Kabiri Tariki 31 Ukwakira 2017, mu kiganiro kihariye yagiranye n’Ikinyamakuru Ukwezi.
3190	Mu kwezi kwa Mutarama uyu mwaka wa 2017, nibwo hagaragaye video yagaragazaga, Pasiteri Ngaboyisonga Theoneste ari nawe muvugizi w’Itorero ry’Inkuru Nziza mu Rwanda aho yarimo yikinisha.
3191	Iyo modoka ya Bishop Ruragi Innocent yo ifite ibirango bya RAD 777 B, uyu mubare 777 akaba yarahamije ko ari ikimenyetso cya Yesu.
3192	Alarm Ministries ni umwe mu miryango ihuza abakirisitu ikomeye mu Rwanda, imaze imyaka irenga 18 itangijwe.
3193	Ubu ariko, ibi bitangaza byose ngo agiye kubigaragariza n’Abanyarwanda batuye i Burayi.
3194	com ifitiye kopi hari aho abakirisitu bagira bati Dufite impungenge z’uburyo bamwe mu bari abayobozi ba ADEPR bafungurwa bakaba bakomeje gukorana n’abayobozi b’indembo ndetse n’abandi bashumba babashyigikiye.
3195	Ni igiterane kizatangira tariki 13 Ukwakira kugeza tariki 15 Ukwakira 2017.
3196	Bishop Rugagi yahise agaruka ku bavuga ko yahashye imbaraga muri Nigeria, nabyo asa n’Abandi bati imbaraga azihahira muri Nigeria, sawa.
3197	Ibi Bishop Rugari yabigarutseho kuri iki Cyumweru tariki 24 Nzeri 2017, ubwo yari ayoboye amateraniro y’iri torero abereye umuyobozi.
3198	Mu masengesho yo kuwa Gatatu hagaragaye ibitangaza by’abakize amadayimoni ndetse n’abagendaga mu tugare bagakira bagataha bigenza.
3199	Ibi Pasiteri Ezra Mpyisi yabisobanuye mu kiganiro yagiranye n’ikinyamakuru Ukwezi.
3200	Uretse ibyo ariko, anazwiho kugira uruhare mu kwigisha abanyarwanda ubumwe n’ubwiyunge, ariko ibi ngo hari ababirwanya bitewe n’uko bakibona muri Parmehutu kandi ngo muri abo harimo n’abapadiri.
3201	Akimara kumusengera Bishop Rugagi yahise amubwira ko ababariwe anamwizeza ko azabona urubyaro vuba cyane.
3202	Uyu musaza avuka ko nyuma yo gushaka ibyangombwa n’amafaranga y’urugendo, yaciwe intege n’abantu bamubwiraga ko kugera kwa Bishop Rugagi bizabagora kuko atazi gusoma, ariko we akababwira ko Imana izabikora.
3203	Uru rukiko rufashe uyu mwanzuro nyuma y’uko Bishop Rwagasana yari yajuririye ifungwa rye aho yavugaga ko afite uburwayi bukomeye kandi butavurirwa mu Rwanda.
3204	Pasiteri Rusine ariko yatangaje ko iri torero rivangura abantu rikabariganya ndetse yaritunze urutoki ko ubuyobozi bwaryo bufite imikorere idahwitse.
3205	Mu giterane cyahuzaga abantu basaga ibihumbi 12, Aptre Gitwaza yagarukaga cyane ku bikwiye gukorwa mu rwego rwo gushaka impinduka mu buzima bw’Abanyafurika n’Abanyarwanda by’umwihariko.
3206	Yagize ati Ubwo twageraga mu gihe cyo gutura, uyu musore yarahagurutse duhuje amaso mbona abaye nk’unyikanze ahita asubira inyuma ngira amakenga ndamukurikira ageze hanze ashaka kwiruka duhita tumufata.
3207	Korale ENIHAKORE yo muri ADEPR Mbuye mu karere ka Ruhango, izasohora indirimbo 8 zayo bwa mbere kuri iki Cyumweru tariki ya 18 Kamena 2017 guhera saa saba.
3208	Kuba umusigiti wegeranye n’urusengero rwa Gitwaza ubwabyo byabaye ikibazo, ariko hari n’ihangana rishingiye ku kutumvikana ku bijyanye no kugurira abaturage begereye urusengero n’umugisiti, buri ruhande rugamije kwagura.
3209	Iyi baruwa yanditswe tariki 13 Kamena 2017, yari yanditswe na Ruzibiza Athanase, Umuyobozi wa Korali yitwa Holy Nation yo mu Gatenga.
